id;city;region;federalokrg;people;firstdate;coat2
1;Абаза;Хакасия;Сибирский;17111;1867;1.png
2;Абакан;Хакасия;Сибирский;165183;1931;2.png
3;Абдулино;Оренбургская область;Приволжский;20663;1795;3.png
4;Абинск;Краснодарский край;Южный;34926;1863;4.png
5;Агидель;Башкортостан;Приволжский;16365;1980;5.png
6;Агрыз;Татарстан;Приволжский;19299;1646;
7;Адыгейск;Адыгея;Южный;12248;1973;7.png
8;Азнакаево;Татарстан;Приволжский;34859;1762;8.png
9;Азов;Ростовская область;Южный;82882;1067;9.svg
10;Ак-Довурак;Тыва;Сибирский;13469;1964;10.png
11;Аксай;Ростовская область;Южный;41984;1957;11.png
12;Алагир;Северная Осетия - Алания;Северо-Кавказский;20949;1850;
13;Алапаевск;Свердловская область;Уральский;38198;1639;13.png
14;Алатырь;Чувашия;Приволжский;38202;1552;14.png
15;Алдан;Якутия;Дальневосточный;21277;1924;15.jpg
16;Алейск;Алтайский край;Сибирский;29512;1913;16.gif
17;Александров;Владимирская область;Центральный;61544;14 век;17.png
18;Александровск;Пермский край;Приволжский;15022;1783;18.png
19;Александровск-Сахалинский;Сахалинская область;Дальневосточный;10613;1869;19.png
20;Алексеевка;Белгородская область;Центральный;39026;1685;20.png
21;Алексин;Тульская область;Центральный;61738;1348;21.png
22;Алзамай;Иркутская область;Сибирский;6751;1899;
23;Алупка;Крым;Крымский;8497;960;23.png
24;Алушта;Крым;Крымский;28642;6 век;24.png
25;Альметьевск;Татарстан;Приволжский;146309;18 век;25.png
26;Амурск;Хабаровский край;Дальневосточный;42977;1958;26.png
27;Анадырь;Чукотский АО;Дальневосточный;13053;1889;27.png
28;Анапа;Краснодарский край;Южный;58983;1781;28.png
29;Ангарск;Иркутская область;Сибирский;233765;1948;29.svg
30;Андреаполь;Тверская область;Центральный;8265;1907;30.png
31;Анжеро-Судженск;Кемеровская область;Сибирский;76669;1896;31.png
32;Анива;Сахалинская область;Дальневосточный;8449;1886;32.gif
33;Апатиты;Мурманская область;Северо-Западный;59690;1926;33.jpg
34;Апрелевка;Московская область;Центральный;18467;1899;34.gif
35;Апшеронск;Краснодарский край;Южный;40229;1863;35.png
36;Арамиль;Свердловская область;Уральский;14227;1675;36.png
37;Аргун;Чечня;Северо-Кавказский;29528;18 век;37.svg
38;Ардатов;Мордовия;Приволжский;9400;1671;38.png
39;Ардон;Северная Осетия - Алания;Северо-Кавказский;18774;1824;
40;Арзамас;Нижегородская область;Приволжский;106367;1552;40.svg
41;Аркадак;Саратовская область;Приволжский;12846;1721;41.png
42;Армавир;Краснодарский край;Южный;188897;1839;42.png
43;Армянск;Крым;Крымский;22468;1736;43.png
44;Арсеньев;Приморский край;Дальневосточный;56742;1902;44.png
45;Арск;Татарстан;Приволжский;18114;13 век;45.png
46;Артём;Приморский край;Дальневосточный;102636;1924;46.png
47;Артёмовск;Красноярский край;Сибирский;2180;1700;
48;Артёмовский;Свердловская область;Уральский;32878;1665;48.png
49;Архангельск;Архангельская область;Северо-Западный;348716;1584;49.svg
50;Асбест;Свердловская область;Уральский;70067;1889;50.png
51;Асино;Томская область;Сибирский;25614;1896;
52;Астрахань;Астраханская область;Южный;520662;1558;52.png
53;Аткарск;Саратовская область;Приволжский;25620;18 век;53.png
54;Ахтубинск;Астраханская область;Южный;41898;1959;54.jpg
55;Ачинск;Красноярский край;Сибирский;109156;1683;55.png
56;Аша;Челябинская область;Уральский;31916;1898;56.png
57;Бабаево;Вологодская область;Северо-Западный;12074;15 век;57.png
58;Бабушкин;Бурятия;Сибирский;4839;1760-е;58.png
59;Бавлы;Татарстан;Приволжский;22109;1658;59.png
